Factor ID,Meal Name,Dutch name,Danish name,DE Name,Swedish name,Internal SKU (Dutch),Internal SKU (NOR),Internal SKU (DE)
"FE1790A","Tangy Miso Chicken Bowl","Kipbowl met friszure misosaus","Miso-kyllingebowl","Würzige Miso-Hähnchen-Bowl","","CON-40-168321-4","CON-00-168316-2","CON-00-168317-2"
"FE1801A","Red Pepper & Artichoke Shrimp Bowl","Garnalenbowl met rode paprika & artisjok","Bowl med rejer, peberfrugt og artiskok","Bowl mit Garnelen, roter Paprika & Artischocken","","","",""
"FE1828A","Chicken, Mushroom & White Bean Cassoulet","Cassoulet met kip, champignons en witte bonen","Cassoulet med kylling, svampe og hvide bønner","Cassoulet mit Hähnchen, Pilzen und weißen Bohnen","","","",""
"FE1829A","Shakshuka-Style Chicken","Kip in shakshuka-stijl","Shakshuka-inspireret kylling","Shakshuka-Style Hähnchen","","CON-40-154572-4","CON-00-155001-2","CON-00-155000-2"
"FE4001E","Grilled chicken fillet and pesto","Gegrilde kipfilet en pesto","Grillet kyllingefilet med pesto","Gegrilltes Hähnchenfilet mit Pesto","","CON-40-143660-4","CON-00-147866-2","CON-00-136659-3"
"FE4002A","Tagine of vegetables and feta","Tajine van groenten en feta","Grøntsagstagine med feta","Gemüse-Tagine mit Feta","Grönsakstagine","CON-40-143728-4","CON-00-147867-2","CON-00-136622-3"
"FE4006A","Pork tenderloin in sundried tomato sauce","Varkenshaas in zongedroogde tomatensaus","Svinemørbrad i soltørret tomatsauce","Schweinefilet in Sonnentomaten-Sauce","Fläskfilé i sås på soltorkade tomater","CON-40-143740-4","CON-00-147870-2","CON-00-136664-3"
"FE4008A","Indian style curry with cauliflower","Bloemkoolcurry met knoflook-gemberrijst","Indisk karry med blomkål","Indisches Blumenkohl-Curry","Indisk curry med blomkål","CON-40-143651-4","CON-00-147872-2","CON-00-136665-3"
"FE4009D","Salmon in mustard-dill sauce","Zalm in mosterd-dillesaus","Laks i senneps-dild sauce","Lachs in Senf-Dill-Sauce","","CON-40-143765-4","CON-00-147871-2","CON-00-137745-2"
"FE4010B","Grilled pork tenderloin and tomato butter","Gegrilde varkenshaas en tomatenboter","Grillet svinemørbrad og tomatsmør","Gegrilltes Schweinefilet mit Tomatenbutter","","CON-40-143698-4","CON-00-147874-2","CON-00-136670-3"
"FE4010C","Grilled pork tenderloin and tomato butter","Gegrilde varkenshaas en tomatenboter","Grillet svinemørbrad med tomatsmør","Gegrilltes Schweinefilet mit Tomatenbutter","","CON-40-143698-4","CON-00-147874-2","CON-00-136670-3"
"FE4011C","Spicy pulled chicken and beans","Pittige pulled chicken en bonen","Krydret pulled chicken med bønner","","","CON-40-143750-4","CON-00-147873-2","CON-00-136685-3"
"FE4014B","Creamy basil risotto with chicken","Romige basilicum-risotto met kipfilet","Cremet basilikumrisotto med kylling","Cremiges Basilikum-Risotto","Krämig basilikarisotto med kyckling","CON-40-143720-4","CON-00-147877-2","CON-00-136675-3"
"FE4014C","Creamy basil risotto with chicken","Romige basilicum-risotto met kipfilet","Cremet basilikumrisotto med kylling","Cremiges Basilikum-Risotto mit Hähnchen","","CON-40-143720-4","CON-00-147877-2","CON-00-136675-3"
"FE4015A","Grilled chicken and ratatouille","Gegrilde kipfilet en ratatouille","Grillet kylling og ratatouille","Grillhähnchen und Ratatouille","Grillad kyckling och ratatouille","CON-40-143658-4","CON-00-147878-2","CON-00-136674-3"
"FE4015B","Grilled chicken and ratatouille","Gegrilde kipfilet en ratatouille","Grillet kylling med ratatouille","Gegrilltes Hähnchen mit Ratatouille","","CON-40-143658-4","CON-00-147878-2","CON-00-136674-3"
"FE4019A","Chicken & green cabbage in cheese sauce","Kipfilet & groene kool in kaassaus","Kylling og grønkål i ostesauce","Hähnchenbrust mit Grünkohl in Käsesauce","Kyckling och savoykål i ostsås","CON-40-143680-4","CON-00-147879-2","CON-00-136624-3"
"FE4020A","Grilled pork tenderloin with broccoli in peppersauce","Gegrilde varkenshaas met broccoli in paprikasaus","Grillet svinemørbrad med broccoli i pebersauce","Gegrilltes Schweinefilet mit Brokkoli in Paprikasauce","Grillad fläskfilé med broccoli i paprikasås","CON-40-143662-4","CON-00-147881-2","CON-00-136679-3"
"FE4021A","Savory chickpeacake & couscous","Hartige kikkererwtentaart & couscous","Marokkansk kikærtekage og couscous","Herzhafte Kichererbsenpfanne mit Couscous","Marockansk kikärtskaka och couscous","CON-40-143669-4","CON-00-147882-2","CON-00-136681-3"
"FE4022B","Pork tenderloin with black pepper and sage","Varkenshaas met zwarte peper & salie","Svinemørbrad med sort peber og salvie","Schweinefilet mit schwarzem Pfeffer und Salbei","Fläskfilé med svartpeppar och salvia","CON-40-143746-4","CON-00-147883-2","CON-00-136684-3"
"FE4023B","Chicken in chive cream sauce","Kipfilet in bieslookroomsaus","Kylling i purløg-flødesauce","Hähnchen in Schnittlauchcreme","","CON-40-143684-4","CON-00-147884-2","CON-00-136687-3"
"FE4024A","Vegetarian shawarma-style cauliflower bowl","Vegetarische shoarma-stijl bloemkool bowl","Vegetarisk shawarma-inspireret bowl","Vegetarische Shawarma-Blumenkohlschale","Vegetarisk bowl med shawarmakryddad blomkål","CON-40-143661-4","CON-00-147885-2","CON-00-136689-3"
"FE4025A","Tagine-style chicken","Tajine-stijl kip","Kyllingetagine","Hähnchen „Tagine-Art""","Kycklingtagine","CON-40-143729-4","CON-00-147886-2","CON-00-136688-3"
"FE4026A","Mediterranean vegetable dish with eggplant","Mediterrane groenteschotel met aubergine","Middelhavsgrøntsagsret med aubergine","Mediterranes Gemüse mit Auberginen","Medelhavsinspirerad grönsaksrätt med aubergine","CON-40-143650-4","CON-00-147887-2","CON-00-136690-3"
"FE4027B","Beef & BBQ sauce","Rundvlees & BBQ saus","Pulled beef med BBQ sauce","Rindfleisch mit BBQ-Sauce","Pulled beef i BBQ-sås","CON-40-143725-4","CON-00-147888-2","CON-00-136693-3"
"FE4037A","Miso-mushrooms","Miso-champignons","Miso-svampe","Miso-Pilze","Miso-champinjoner","CON-40-143701-4","CON-00-147891-2","CON-00-136707-3"
"FE4038B","Chicken in mushroom sauce","Kipfilet in champignonsaus","Kylling i svampesauce","Hähnchen in Pilzsauce","Kyckling i svampsås","CON-40-143724-4","CON-00-147894-2","CON-00-136711-3"
"FE4039C","Salmon in creamy gochugaru sauce","Zalm in romige gochugaru saus","Laks i cremet gochugaru sauce","Lachs in cremiger Gochugaru-Sauce","","CON-40-143752-4","CON-00-147893-2","CON-00-137744-2"
"FE4040B","Chicken in creamy basil sauce","Kipfilet in romige basilicumsaus","Kylling i cremet basilikumssauce","Hähnchen in cremiger Basilikumsauce","","CON-40-143688-4","CON-00-147896-2","CON-00-136714-3"
"FE4042A","Pork tenderloin and Mediterranean mash","Varkenshaas & Mediterrane stamppot","Svinemørbrad og middelhavsinspireret kartoffelmos","Schweinefilet auf mediterranem Püree","Fläskfilé med medelhavsinspirerat mos","CON-40-143734-4","CON-00-147895-2","CON-00-136717-3"
"FE4043A","Beef in tomato ragout","Rundvlees in tomatenragout","Oksekød i tomatragout","Rindfleisch-Tomaten-Ragout","Nötkött i tomatragu","CON-40-143727-4","CON-00-147897-2","CON-00-136720-3"
"FE4044C","Salmon on tomato risotto","Zalm op tomatenrisotto","Laks på tomatrisotto","Lachs auf Tomatenrisotto","","CON-40-143756-4","CON-00-147898-2","CON-00-136719-3"
"FE4046A","Creamy pumpkin risotto","Romige pompoenrisotto","Cremet græskarrisotto","Cremiges Kürbisrisotto","Krämig pumparisotto","CON-40-143721-4","CON-00-147899-2","CON-00-136724-3"
"FE4048B","Creamy leek pork tenderloin","Varkenshaas & romige prei","Svinemørbrad med cremet porresauce","Schweinefilet in cremiger Lauchsauce","","CON-40-143735-4","CON-00-147902-2","CON-00-138006-2"
"FE4049B","Red chile pulled pork","Rode chili & pulled pork","Chilikryddet pulled pork","Pulled Pork mit roter Chilisauce","","CON-40-143719-4","CON-00-147901-2","CON-00-138152-2"
"FE4050A","Beef & black bean bowl","Rundergehakt & zwarte bonen bowl","Bowl med oksekød og sorte bønner","Rindfleisch-Bohnen-Bowl","Bowl med nötkött och svarta bönor","CON-40-143723-4","CON-00-147903-2","CON-00-137312-2"
"FE4051A","Tomato-mozzarella chicken","Kipfilet tomaat-mozzarella","Tomat- og mozzarella kylling","Tomate-Mozzarella-Hähnchen","Tomat- och mozzarellakyckling","CON-40-143692-4","CON-00-151283-2","CON-00-137456-2"
"FE4053B","Gochugaru Chicken","Gochugaru kipblokjes","Gochugaru-kylling","Gochugaru-Hähnchen","","CON-40-143666-4","CON-00-147904-2","CON-00-137559-2"
"FE4055A","Lemon-garlic chicken","Knoflook-citroen kipfilet","Citron- og hvidløgskylling","Zitronen-Knoblauch-Hähnchen","Citron- och vitlökskyckling","CON-40-143694-4","CON-00-147905-2","CON-00-138291-2"
"FE4060A","Artichoke & Spinach Pork tenderloin","Varkenshaas met artisjok & spinazie","Svinemørbrad med artiskok og spinat","Schweinefilet mit Artischocken und Spinat","Fläskfilé med kronärtskocka och spenat","CON-40-143742-4","CON-00-147907-2","CON-00-139494-2"
"FE4063A","Cheddar pulled beef","Pulled beef met cheddar","Pulled beef med cheddar","Cheddar Pulled Beef","","CON-40-143712-4","CON-00-147906-2","CON-00-138996-2"
"FE4064A","Ginger Garlic Grilled Chicken","Gember knoflook gegrilde kip","Grillet kylling med ingefær og hvidløg","Gegrilltes Hähnchen in Ingwer-Knoblauch-Marinade","","CON-40-152009-4","CON-00-152026-2","CON-00-152024-2"
"FE4065A","Spicy Beef & Black Bean Chili","Pittige chili met rundvlees en zwarte bonen","Chili med oksekød og sorte bønner","Würziges Rindfleisch-Bohnen-Chili","","CON-40-152012-4","CON-00-152032-2","CON-00-152031-2"
"FE4066A","Thai Style Green Curry Salmon","Zalm in curry in Thaise stijl","Laks i grøn thai-curry","Lachs in grünem Thai Style Curry","","CON-40-152018-4","CON-00-152039-2","CON-00-152038-2"
"FE4067A","Honey Miso Chicken & Scallion Rice","Honing-misokip","Honning-miso kylling med ris og forårsløg","Honig-Miso-Hähnchen mit Frühlingszwiebelreis","","CON-40-152017-4","CON-00-152045-2","CON-00-152041-2"
"FE4068A","Balsamic-Glazed Chicken","Kip met balsamico glazuur","Kylling med balsamico­sauce","Balsamico-Glasur Hähnchen","","CON-40-155745-4","CON-00-155740-2","CON-00-155739-2"
"FE4069A","Apple Cider & Dijon Chicken","Kip met appelazijn & dijonmosterd","Kylling i æblecider-dijonsauce","Apfelwein- & Dijon-Senf-Hähnchen","","CON-40-155744-4","CON-00-155741-2","CON-00-155742-2"
"FE4070A","Herb-Grilled Chicken","Gegrilde kip met kruiden","Grillkylling med urter","Gegrilltes Hähnchen mit Kräutern","","CON-40-155021-4","CON-00-155018-2","CON-00-155022-2"
"FE4071A","Pulled Jerk Chicken & Rice","Pulled kip met jerk-kruiden en rijst","Pulled jerk chicken med ris","Pulled Jerk Chicken mit Reis","","CON-40-154560-4","CON-00-154554-2","CON-00-154545-2"
"FE4072A","Chicken & Eggplant Mozzarella Pomodoro","Kip & aubergine in mozzarella-pomodorosaus","Pomodoro med kylling, aubergine og mozzarella","Hähnchen-Auberginen-Pomodoro mit Mozzarella","","CON-40-155236-4","CON-00-155261-2","CON-00-155262-2"
"FE4075A","Sun-Dried Tomato Beef Ragu & Pasta","Runder-ragù met zongedroogde tomaat en pasta","Pasta med oksekødsragù og soltørrede tomater","Rinderragù mit sonnengetrockneten Tomaten und Pasta","","CON-40-155189-4","CON-00-155188-2","CON-00-155185-3"
"FE4077A","Honey Mustard Salmon","Zalm in honing-mosterdsaus","Laks med honning og sennep","Honig-Senf-Lachs","","CON-40-155237-4","CON-00-155260-2","CON-00-155224-2"
"FE4078A","Moussaka-Style Ground Beef, Eggplant & Bechamel","Moussaka-stijl gehakt met aubergine & bechamelsaus","Moussaka-style oksekød med aubergine & béchamel","Moussaka-Style Rinderhack mit Aubergine & Béchamel sauce","","CON-40-155466-4","CON-00-155386-2","CON-00-155385-2"
"FE4079A","Pulled Beef & Mushroom Cream Pasta","Pulled beef met romige paddenstoelenpasta","Pulled beef med cremet svampepasta","Pulled Beef mit Pilzrahm-Pasta","","CON-40-154563-4","CON-00-156138-2","CON-00-154548-2"
"FE4080A","Maple BBQ Chicken Breast","Maple BBQ kipfilet","BBQ-kylling med ahornsirup","Hähnchenbrust in Ahorn-Barbecue-Glasur","","","",""
"FE4081A","Cajun Chicken, Tomato Gravy & Mashed Potatoes","Cajun kip, tomatenjus en aardappelpuree","Cajun-krydret kylling med tomatsauce og kartoffelmos","Cajun-Hähnchen mit Tomatensauce & Kartoffelpüree","","CON-40-155635-4","CON-00-155634-2","CON-00-155633-2"
"FE4082A","Broccoli Cheddar Grilled Chicken","Gegrilde kip met broccoli en cheddar","Grillet kylling med broccoli og cheddar","Gegrilltes Hähnchen mit Brokkoli und Cheddar","","","",""
"FE4083A","Apricot Mustard Grilled Chicken","Gegrilde kip met abrikoos-mosterdsaus","Kylling med abrikos- og sennepssauce","Gegrilltes Hähnchen mit Aprikosen-Senf-Glasur","","","",""
"FE4085A","Grilled Chicken Parmesan & Trottole","Gegrilde kip Parmezaan met trottole","Grillet kylling med parmesan og trottole","Gegrilltes Hähnchen-Parmesan mit Trottole","","","",""
"FE4088A","Chicken & Mushroom Gravy","Kip met champignonjus","Kylling i svampesauce","Hähnchen & Pilzrahmsoße","","CON-40-168125-4","CON-00-168124-2","CON-00-168123-2"
"FE4089A","Aji Amarillo Chicken","Kip in ají amarillo-stijl","Aji amarillo-kylling","Aji Amarillo Hähnchen","","","",""
"FE4090A","Creamy Tomato Shredded Chicken","Pulled chicken in romige tomatensaus","Pulled chicken med cremet tomatsauce","Hähnchen in cremiger Tomatensauce","","","",""
"FE4091A","Dijon & Honey Pork Tenderloin","Varkenshaas met honing-dijonsaus","Svinemørbrad med dijon og honning","Dijon- & Honig-Schweinefilet","","","",""
"FEA001A","Cold-Pressed Juice Mix","","","","","","",""
"FEA002A","Beetroot Carrot Ginger Juice","","","","","BEV-40-143932-4","BEV-40-143932-4",""
"FEA003A","Spinach Apple Cucumber Juice","","","","","BEV-40-143933-4","BEV-40-143933-4",""
"FEA004A","Passionfruit Pineapple Turmeric Juice","","","","","BEV-40-143931-4","BEV-40-143931-4",""
"FEA005A","Ginger Lemon Apple Wellness Shot","","","","","BEV-40-143930-4","BEV-40-143930-4","BEV-00-136840-3"
"FEA006A","Garlic Herb Grilled Chicken","Gegrilde kip met knoflook en kruiden","Grillet kylling med hvidlød og urter","Gegrilltes Hähnchen mit Knoblauch-Kräutern","","CON-40-143657-4","PTN-00-148223-2","PTN-00-136930-3"
"FEA007A","Garlic Roasted Salmon","","","","","CON-40-143664-4","","PTN-00-136931-3"
"FEA008A","Spicy Roasted Salmon","","","","","CON-40-143663-4","","PTN-00-136932-3"
"FEA009A","Spirulina Ginger Lime Ginger Shot","","","","","BEV-40-143935-4","BEV-40-143935-4","BEV-00-137951-2"
"FEA010A","Turmeric Cayenne Pineapple Ginger Shot","","","","","BEV-40-143934-4","BEV-40-143934-4","BEV-00-137952-2"
